amount_log,hour,day_of_week,merchant_risk,distance_km,prev_tx_mins,is_foreign,high_risk_hour,rapid_succession,high_distance,risk_score_raw,label
3.524476571659104,14,3,0.1938670583474038,23.743584121015587,117.5797600641038,0,0,0,0,0.0,0
4.791751434387546,19,1,0.19397638515864776,6.256089765597956,3.434320869123049,0,0,1,0,0.0,0
4.3723692951417785,17,2,0.04754679695468358,9.179371990485556,218.03539143573647,0,0,0,0,0.0,0
1.3607509463855831,18,3,0.00037286359460370067,16.48510478173786,57.69353199793113,0,0,0,0,0.0,0
4.246390089214423,10,1,0.16761818061772782,9.00188915360596,42.40316853308647,0,0,0,0,0.0,0
3.1673470137198825,10,1,0.013233047848385715,16.091685797494783,63.96585548771107,0,0,0,0,0.0,0
2.619331938771311,10,3,0.08285514432195112,3.36269650284682,34.78417422584354,0,0,0,0,0.0,0
4.423068956766444,16,0,0.04766480112975641,15.594333748407623,1.2537273918066694,0,0,1,0,0.0,0
3.9466317702807263,18,3,0.27986252392203737,26.335393282367974,114.5064928860221,0,0,0,0,0.0,0
2.052571253121605,17,3,0.019572136252644954,2.7332575286161767,149.781767244834,0,0,0,0,0.0,0
3.6964384026979205,9,3,0.2486375115900587,3.070068286377639,27.019349918180772,0,0,0,0,0.0,0
5.5660390974695435,17,2,0.01517360555002124,2.71988838523261,88.75560479775731,0,0,0,0,0.0,0
3.3772368957033696,10,3,0.04350365021888559,12.495377046358735,205.57443029105158,0,0,0,0,0.0,0
3.577069775475329,13,4,0.05227003226532538,6.328003281643509,10.486017316296252,0,0,0,0,0.0,0
2.7132766318524295,16,2,0.2914212459500879,0.782054512577433,87.73788339419042,0,0,0,0,0.0,0
3.1042963298383777,15,4,0.241795138448498,10.263717804014757,8.66332919425196,0,0,1,0,0.0,0
4.012398578319759,20,2,0.21516164396833154,18.218878810354887,152.65016807039285,0,0,0,0,0.0,0
3.466955351075074,2,5,0.6335183333566149,413.37515560726104,0.7170477834734801,1,1,1,0,0.6335183333566149,1
4.109823430832623,10,4,0.07815695923372501,3.8626387492530547,81.78960932638344,0,0,0,0,0.0,0
3.741770567762962,20,4,0.2292315721714817,4.98454816508983,23.585447492973703,0,0,0,0,0.0,0
